epoch,learning_rate,step,train_accuracy,train_loss,val_accuracy,val_loss,val_perplexity
0,,9,,,2.893235445022583,3.258701801300049,26.0157413482666
2,,19,,,0.0,2.445976495742798,11.541814804077148
4,,29,,,,,11.541814804077148
6,,39,,,0.0,1.9713279008865356,7.18020486831665
8,0.0009996099397540092,49,0.0,1.9522985219955444,,,
8,,49,,,,,7.18020486831665
10,,59,,,0.1381509006023407,1.9453569650650024,6.996129035949707
12,,69,,,,,6.996129035949707
14,,79,,,10.350690841674805,1.9413031339645386,6.967824935913086
16,,89,,,,,6.967824935913086
18,0.0009991099359467626,99,28.125,1.937599778175354,,,
18,,99,,,18.257173538208008,1.9399417638778687,6.958345413208008
20,,109,,,,,6.958345413208008
22,,119,,,22.199787139892578,1.9391131401062012,6.952582359313965
24,,129,,,,,6.952582359313965
